0.0 12906.2
19.5 5525.2
39.1 14.8
58.6 13.9
78.1 8.7
97.7 11.6
117.2 39.4
136.7 96.1
156.3 41.1
175.8 1.9
195.3 4.6
214.8 6.7
234.4 17.5
253.9 66.7
273.4 42.6
293.0 8.0
312.5 4.8
332.0 2.8
351.6 21.0
371.1 95.3
390.6 69.5
410.2 9.3
429.7 5.5
449.2 2.9
468.7 0.8
488.3 4.6
507.8 11.6
527.3 7.4
546.9 1.2
566.4 4.9
585.9 3.2
605.5 2.5
625.0 14.5
644.5 57.5
664.1 34.9
683.6 3.9
703.1 3.3
722.7 3.2
742.2 19.1
761.7 79.7
781.2 55.2
800.8 4.3
820.3 5.1
839.8 2.7
859.4 14.4
878.9 88.2
898.4 88.3
918.0 18.0
937.5 3.5
957.0 6.6
976.6 10.5
996.1 6.2
1015.6 12.0
1035.2 10.9
1054.7 4.1
1074.2 2.8
1093.8 7.3
1113.3 9.4
1132.8 10.9
1152.3 48.4
1171.9 40.7
1191.4 4.0
1210.9 4.5
1230.5 7.9
1250.0 14.1
1269.5 66.7
1289.1 60.1
1308.6 8.0
1328.1 3.1
1347.7 6.3
1367.2 8.7
1386.7 6.0
1406.3 4.8
1425.8 8.7
1445.3 7.9
1464.8 4.3
1484.4 1.2
1503.9 2.5
1523.4 10.3
1543.0 15.8
1562.5 5.4
1582.0 4.4
1601.6 2.0
1621.1 8.9
1640.6 1.9
1660.2 57.3
1679.7 63.6
1699.2 14.1
1718.8 2.2
1738.3 4.6
1757.8 3.9
1777.3 77.5
1796.9 133.5
1816.4 45.9
1835.9 4.6
1855.5 2.0
1875.0 3.1
1894.5 2.8
1914.1 10.5
1933.6 9.9
1953.1 2.2
1972.7 5.1
1992.2 3.2
2011.7 5.6
2031.3 3.8
2050.8 5.5
2070.3 5.8
2089.8 1.3
2109.4 4.3
2128.9 2.7
2148.4 5.0
2168.0 46.8
2187.5 77.2
2207.0 18.3
2226.6 5.9
2246.1 2.8
2265.6 4.6
2285.2 60.1
2304.7 139.4
2324.2 54.0
2343.8 6.4
2363.3 0.6
2382.8 7.7
2402.3 5.8
2421.9 11.5
2441.4 16.4
2460.9 3.4
2480.5 1.9
